number,pokemon_name,pic_url,main_type,secondary_type,region,category,height (),weight (),pokemon_family,attack,defense,stamina,cp min,cp max,Hp min,hp max,capture_rate,flee_rate,male_perc,female_perc,resistance,weakness,wild_avail,egg_avail,raid_avail,research_avail,shiny,shadow,Fecha
11,Metapod,https://static.wikia.nocookie.net/pokemongo/images/6/6b/Metapod.png,Bug,,Kanto,Cocoon,"0,7","9,9",Caterpie family,45,80,137,10,450,12,120,25%,9%,50%,50%,"{'62.5%': ['Fighting', 'Grass', 'Ground']}","{'160%': ['Fire', 'Flying', 'Rock']}",Yes,No,Formerly (1st tier level),Formerly,Yes,No,1996
12,Butterfree,https://static.wikia.nocookie.net/pokemongo/images/9/96/Butterfree.png,Bug,Flying,Kanto,Butterfly,"1,1",32,Caterpie family,167,137,155,21,1827,14,134,"12,50%",6%,50%,50%,"{'62.5%': ['Bug'], '39%': ['Fighting', 'Grass'], '24%': ['Ground']}","{'160%': ['Electric', 'Fire', 'Flying', 'Ice'], '256%': ['Rock']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,No,1996
13,Weedle,https://static.wikia.nocookie.net/pokemongo/images/d/d6/Weedle.png,Bug,Poison,Kanto,Hairy,"0,3","3,2",Weedle family,63,50,120,10,456,11,106,50%,20%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}",Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,1996
14,Kakuna,https://static.wikia.nocookie.net/pokemongo/images/6/63/Kakuna.png,Bug,Poison,Kanto,Cocoon,"0,6",10,Weedle family,46,75,128,10,432,12,113,25%,9%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}",Yes,No,No,Formerly,Yes,Yes,1996
15,Beedrill,https://static.wikia.nocookie.net/pokemongo/images/0/0d/Beedrill.png,Bug,Poison,Kanto,Poison,1,"29,5",Weedle family,169,130,163,21,1846,15,140,"12,50%",6%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}",Yes,No,Formerly (4th tier level),No,Yes,Yes,1996
16,Pidgey,https://static.wikia.nocookie.net/pokemongo/images/b/b7/Pidgey.png,Normal,Flying,Kanto,Tiny,"0,3","1,8",Pidgey family,85,73,120,10,680,11,106,50%,20%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes,No,No,Formerly,Yes,No,1996
17,Pidgeotto,https://static.wikia.nocookie.net/pokemongo/images/5/57/Pidgeotto.png,Normal,Flying,Kanto,Bird,"1,1",30,Pidgey family,117,105,160,13,1194,15,138,25%,9%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes,No,No,Formerly,Yes,No,1996
18,Pidgeot,https://static.wikia.nocookie.net/pokemongo/images/a/a9/Pidgeot.png,Normal,Flying,Kanto,Bird,"1,5","39,5",Pidgey family,166,154,195,25,2129,18,165,"12,50%",6%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes,No,Formerly (4th tier level),No,Yes,No,1996
19,Rattata,https://static.wikia.nocookie.net/pokemongo/images/c/c4/Rattata.png,Normal,,Kanto,Mouse,"0,3","3,5",Rattata family,103,70,102,10,734,10,92,50%,20%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes,No,No,Formerly,Yes,Yes,1996
20,Raticate,https://static.wikia.nocookie.net/pokemongo/images/d/d6/Raticate.png,Normal,,Kanto,Mouse,"0,7","18,5",Rattata family,161,139,146,20,1730,13,127,20%,7%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes,No,Formerly (3rd tier level),No,Yes,Yes,1996
21,Spearow,https://static.wikia.nocookie.net/pokemongo/images/a/a1/Spearow.png,Normal,Flying,Kanto,Tiny,"0,3",2,Spearow family,112,60,120,10,798,11,106,50%,15%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes,No,No,Formerly,Yes,No,1996
22,Fearow,https://static.wikia.nocookie.net/pokemongo/images/4/41/Fearow.png,Normal,Flying,Kanto,Beak,"1,2",38,Spearow family,182,133,163,23,1997,15,140,20%,7%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes,No,Formerly (3rd tier level),No,Yes,No,1996
23,Ekans,https://static.wikia.nocookie.net/pokemongo/images/1/11/Ekans.png,Poison,,Kanto,Snake,2,"6,9",Ekans family,110,97,111,10,927,10,99,50%,15%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}",Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,1996
24,Arbok,https://static.wikia.nocookie.net/pokemongo/images/4/4d/Arbok.png,Poison,,Kanto,Cobra,"3,5",65,Ekans family,167,153,155,22,1921,14,134,20%,7%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}",Yes,No,Formerly (3rd tier level),No,Yes,Yes,1996
25,Pikachu,https://static.wikia.nocookie.net/pokemongo/images/7/77/Pikachu.png,Electric,,Kanto,Mouse,"0,4",6,Pikachu family,112,96,111,10,938,10,99,20%,10%,50%,50%,"{'62.5%': ['Electric', 'Flying', 'Steel']}",{'160%': ['Ground']},Yes (Very-rare,,,,,,1996
26,Raichu,https://static.wikia.nocookie.net/pokemongo/images/3/34/Raichu.png,Electric,,Kanto,Mouse,"0,8",30,Pikachu family,193,151,155,26,2182,14,134,10%,6%,50%,50%,"{'62.5%': ['Electric', 'Flying', 'Steel']}",{'160%': ['Ground']},Yes,No,Formerly (3rd tier level),Formerly,Yes,No,1996
27,Sandshrew,https://static.wikia.nocookie.net/pokemongo/images/d/df/Sandshrew.png,Ground,,Kanto,Mouse,"0,6",12,Sandshrew family,126,120,137,14,1261,12,120,50%,10%,50%,50%,"{'62.5%': ['Poison', 'Rock'], '39%': ['Electric']}","{'160%': ['Grass', 'Ice', 'Water']}",Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,1996
28,Sandslash,https://static.wikia.nocookie.net/pokemongo/images/1/13/Sandslash.png,Ground,,Kanto,Mouse,1,"29,5",Sandshrew family,182,175,181,28,2374,17,154,20%,6%,50%,50%,"{'62.5%': ['Poison', 'Rock'], '39%': ['Electric']}","{'160%': ['Grass', 'Ice', 'Water']}",Yes,No,Formerly (2nd tier level),Formerly,Yes,Yes,1996
29,Nidoranâ™€,https://static.wikia.nocookie.net/pokemongo/images/c/c8/Nidoran%E2%99%80.png,Poison,,Kanto,Poison,"0,4",7,Nidoranâ™€ family,86,89,146,10,816,13,127,50%,15%,N/A,N/A,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}",Yes,No,No,Formerly,Yes,Yes,1996
30,Nidorina,https://static.wikia.nocookie.net/pokemongo/images/3/31/Nidorina.png,Poison,,Kanto,Poison,"0,8",20,Nidoranâ™€ family,117,120,172,14,1309,16,147,25%,7%,N/A,N/A,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}",Yes,No,No,Formerly,Yes,Yes,1996
31,Nidoqueen,https://static.wikia.nocookie.net/pokemongo/images/4/43/Nidoqueen.png,Poison,Ground,Kanto,Drill,"1,3",60,Nidoranâ™€ family,180,173,207,30,2488,19,175,"12,50%",5%,N/A,N/A,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Ground', 'Ice', 'Psychic', 'Water']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,Yes,1996
32,Nidoranâ™‚,https://static.wikia.nocookie.net/pokemongo/images/6/60/Nidoran%E2%99%82.png,Poison,,Kanto,Poison,"0,5",9,Nidoranâ™‚ family,105,76,130,10,860,12,114,50%,15%,N/A,N/A,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}",Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,1996
33,Nidorino,https://static.wikia.nocookie.net/pokemongo/images/7/7a/Nidorino.png,Poison,,Kanto,Poison,"0,9","19,5",Nidoranâ™‚ family,137,111,156,15,1393,14,135,25%,7%,N/A,N/A,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,Yes,1996
34,Nidoking,https://static.wikia.nocookie.net/pokemongo/images/7/76/Nidoking.png,Poison,Ground,Kanto,Drill,"1,4",62,Nidoranâ™‚ family,204,156,191,31,2567,17,162,"12,50%",5%,N/A,N/A,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Ground', 'Ice', 'Psychic', 'Water']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,Yes,1996
35,Clefairy,https://static.wikia.nocookie.net/pokemongo/images/d/d2/Clefairy.png,Fairy,,Kanto,Fairy,"0,6","7,5",Clefairy family,107,108,172,12,1155,16,147,30%,10%,25%,75%,"{'62.5%': ['Bug', 'Dark', 'Fighting'], '39%': ['Dragon']}","{'160%': ['Poison', 'Steel']}",Yes,No,Formerly (1st tier level),Formerly,Yes,No,1996
36,Clefable,https://static.wikia.nocookie.net/pokemongo/images/d/d5/Clefable.png,Fairy,,Kanto,Fairy,"1,3",40,Clefairy family,178,162,216,29,2437,20,182,10%,6%,25%,75%,"{'62.5%': ['Bug', 'Dark', 'Fighting'], '39%': ['Dragon']}","{'160%': ['Poison', 'Steel']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,No,1996
37,Vulpix,https://static.wikia.nocookie.net/pokemongo/images/8/8d/Vulpix.png,Fire,,Kanto,Fox,"0,6","9,9",Vulpix family,96,109,116,10,883,10,103,30%,10%,25%,75%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}",Yes,No,Formerly (1st tier level),Yes,Yes,Yes,1996
38,Ninetales,https://static.wikia.nocookie.net/pokemongo/images/9/98/Ninetales.png,Fire,,Kanto,Fox,"1,1","19,9",Vulpix family,169,190,177,27,2279,16,151,10%,6%,25%,75%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,Yes,1996
39,Jigglypuff,https://static.wikia.nocookie.net/pokemongo/images/a/af/Jigglypuff.png,Normal,Fairy,Kanto,Balloon,"0,5","5,5",Jigglypuff family,80,41,251,10,724,23,210,50%,10%,25%,75%,"{'62.5%': ['Bug', 'Dark'], '39%': ['Dragon', 'Ghost']}","{'160%': ['Poison', 'Steel']}",Yes,No,Formerly (1st tier level),Yes,Yes,No,1996
40,Wigglytuff,https://static.wikia.nocookie.net/pokemongo/images/f/f1/Wigglytuff.png,Normal,Fairy,Kanto,Balloon,1,12,Jigglypuff family,156,90,295,22,1926,27,244,20%,6%,25%,75%,"{'62.5%': ['Bug', 'Dark'], '39%': ['Dragon', 'Ghost']}","{'160%': ['Poison', 'Steel']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,No,1996
41,Zubat,https://static.wikia.nocookie.net/pokemongo/images/6/67/Zubat.png,Poison,Flying,Kanto,Bat,"0,8","7,5",Zubat family,83,73,120,10,667,11,106,50%,20%,50%,50%,"{'62.5%': ['Fairy', 'Ground', 'Poison'], '39%': ['Bug', 'Fighting', 'Grass']}","{'160%': ['Electric', 'Ice', 'Psychic', 'Rock']}",Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,1996
42,Golbat,https://static.wikia.nocookie.net/pokemongo/images/2/2c/Golbat.png,Poison,Flying,Kanto,Bat,"1,6",55,Zubat family,161,150,181,23,1976,17,154,20%,7%,50%,50%,"{'62.5%': ['Fairy', 'Ground', 'Poison'], '39%': ['Bug', 'Fighting', 'Grass']}","{'160%': ['Electric', 'Ice', 'Psychic', 'Rock']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,Yes,1996
43,Oddish,https://static.wikia.nocookie.net/pokemongo/images/d/d9/Oddish.png,Grass,Poison,Kanto,Weed,"0,5","5,4",Oddish family,131,112,128,13,1228,12,113,60%,15%,50%,50%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}",Yes,No,No,Formerly,Yes,Yes,1996
44,Gloom,https://static.wikia.nocookie.net/pokemongo/images/5/59/Gloom.png,Grass,Poison,Kanto,Weed,"0,8","8,6",Oddish family,153,136,155,19,1681,14,134,30%,7%,50%,50%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,Yes,1996
45,Vileplume,https://static.wikia.nocookie.net/pokemongo/images/3/32/Vileplume.png,Grass,Poison,Kanto,Flower,"1,2","18,6",Oddish family,202,167,181,31,2559,17,154,15%,5%,50%,50%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}",Yes,No,Formerly (3rd tier level),No,Yes,Yes,1996
46,Paras,https://static.wikia.nocookie.net/pokemongo/images/e/ee/Paras.png,Bug,Grass,Kanto,Mushroom,"0,3","5,4",Paras family,121,99,111,11,1018,10,99,40%,15%,50%,50%,"{'62.5%': ['Electric', 'Fighting', 'Water'], '39%': ['Grass', 'Ground']}","{'160%': ['Bug', 'Ice', 'Poison', 'Rock'], '256%': ['Fire', 'Flying']}",Yes,No,Formerly (1st tier level),Formerly,Yes,No,1996
47,Parasect,https://static.wikia.nocookie.net/pokemongo/images/6/62/Parasect.png,Bug,Grass,Kanto,Mushroom,1,"29,5",Paras family,165,146,155,21,1859,14,134,20%,7%,50%,50%,"{'62.5%': ['Electric', 'Fighting', 'Water'], '39%': ['Grass', 'Ground']}","{'160%': ['Bug', 'Ice', 'Poison', 'Rock'], '256%': ['Fire', 'Flying']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,No,1996
48,Venonat,https://static.wikia.nocookie.net/pokemongo/images/d/d3/Venonat.png,Bug,Poison,Kanto,Insect,1,30,Venonat family,100,100,155,11,1004,14,134,50%,15%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}",Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,1996
49,Venomoth,https://static.wikia.nocookie.net/pokemongo/images/c/c2/Venomoth.png,Bug,Poison,Kanto,Poison,"1,5","12,5",Venonat family,179,143,172,24,2082,16,147,20%,7%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}",Yes,No,Formerly (2nd tier level),No,Yes,Yes,1996
50,Diglett,https://static.wikia.nocookie.net/pokemongo/images/7/7a/Diglett.png,Ground,,Kanto,Mole,"0,2","0,8",Diglett family,109,78,67,10,676,10,64,50%,10%,50%,50%,"{'62.5%': ['Poison', 'Rock'], '39%': ['Electric']}","{'160%': ['Grass', 'Ice', 'Water']}",Yes,No,No,Formerly,Yes,Yes,1996
51,Dugtrio,https://static.wikia.nocookie.net/pokemongo/images/8/8b/Dugtrio.png,Ground,,Kanto,Mole,"0,7","33,3",Diglett family,167,134,111,17,1557,10,99,20%,6%,50%,50%,"{'62.5%': ['Poison', 'Rock'], '39%': ['Electric']}","{'160%': ['Grass', 'Ice', 'Water']}",Yes,No,Formerly (th tier level),Formerly,Yes,Yes,1996
52,Meowth,https://static.wikia.nocookie.net/pokemongo/images/9/99/Meowth.png,Normal,,Kanto,Scratch,"0,4","4,2",Meowth family,92,78,120,10,748,11,106,50%,15%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,1996
53,Persian,https://static.wikia.nocookie.net/pokemongo/images/b/b3/Persian.png,Normal,,Kanto,Classy,1,32,Meowth family,150,136,163,19,1689,15,140,20%,7%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes,No,Formerly (3rd tier level),No,Yes,Yes,1996
54,Psyduck,https://static.wikia.nocookie.net/pokemongo/images/3/32/Psyduck.png,Water,,Kanto,Duck,"0,8","19,6",Psyduck family,122,95,137,12,1106,12,120,50%,10%,50%,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,1996
55,Golduck,https://static.wikia.nocookie.net/pokemongo/images/c/cf/Golduck.png,Water,,Kanto,Duck,"1,7","76,6",Psyduck family,191,162,190,29,2450,17,162,20%,6%,50%,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes,No,Formerly (2nd tier level),Formerly,Yes,Yes,1996
56,Mankey,https://static.wikia.nocookie.net/pokemongo/images/8/8b/Mankey.png,Fighting,,Kanto,Pig,"0,5",28,Mankey family,148,82,120,12,1164,11,106,50%,10%,50%,50%,"{'62.5%': ['Bug', 'Dark', 'Rock']}","{'160%': ['Fairy', 'Flying', 'Psychic']}",Yes,No,Formerly (1st tier level),Formerly,Yes,No,1996
57,Primeape,https://static.wikia.nocookie.net/pokemongo/images/e/e0/Primeape.png,Fighting,,Kanto,Pig,1,32,Mankey family,207,138,163,27,2288,15,140,20%,6%,50%,50%,"{'62.5%': ['Bug', 'Dark', 'Rock']}","{'160%': ['Fairy', 'Flying', 'Psychic']}",Yes,No,Formerly (3rd tier level),No,Yes,No,1996
58,Growlithe,https://static.wikia.nocookie.net/pokemongo/images/b/bb/Growlithe.png,Fire,,Kanto,Puppy,"0,7",19,Growlithe family,136,93,146,14,1243,13,127,30%,10%,75%,25%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}",Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,1996
59,Arcanine,https://static.wikia.nocookie.net/pokemongo/images/5/50/Arcanine.png,Fire,,Kanto,Legendary,"1,9",155,Growlithe family,227,166,207,37,3029,19,175,10%,6%,75%,25%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,Yes,1996
60,Poliwag,https://static.wikia.nocookie.net/pokemongo/images/9/90/Poliwag.png,Water,,Kanto,Tadpole,"0,6","12,4",Poliwag family,101,82,120,10,829,11,106,50%,15%,50%,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes,Yes (2-km Eggs),Formerly (1st tier level),Yes,Yes,Yes,1996
61,Poliwhirl,https://static.wikia.nocookie.net/pokemongo/images/2/24/Poliwhirl.png,Water,,Kanto,Tadpole,1,20,Poliwag family,130,123,163,16,1419,15,140,25%,7%,50%,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes,No,No,Formerly,Yes,Yes,1996
62,Poliwrath,https://static.wikia.nocookie.net/pokemongo/images/8/85/Poliwrath.png,Water,Fighting,Kanto,Tadpole,"1,3",54,Poliwag family,182,184,207,31,2586,19,175,"12,50%",5%,50%,50%,"{'62.5%': ['Bug', 'Dark', 'Fire', 'Ice', 'Rock', 'Steel', 'Water']}","{'160%': ['Electric', 'Fairy', 'Flying', 'Grass', 'Psychic']}",Yes,No,Formerly (3rd tier level),No,Yes,Yes,1996
63,Abra,https://static.wikia.nocookie.net/pokemongo/images/f/f6/Abra.png,Psychic,,Kanto,Psi,"0,9","19,5",Abra family,195,82,93,15,1342,10,85,50%,99%,75%,25%,"{'62.5%': ['Fighting', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Ghost']}",Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,1996
64,Kadabra,https://static.wikia.nocookie.net/pokemongo/images/b/b0/Kadabra.png,Psychic,,Kanto,Psi,"1,3","56,5",Abra family,232,117,120,24,2059,11,106,25%,7%,75%,25%,"{'62.5%': ['Fighting', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Ghost']}",Yes,No,Formerly (3rd tier level),No,Yes,Yes,1996
65,Alakazam,https://static.wikia.nocookie.net/pokemongo/images/f/f5/Alakazam.png,Psychic,,Kanto,Psi,"1,5",48,Abra family,271,167,146,37,3057,13,127,10%,5%,75%,25%,"{'62.5%': ['Fighting', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Ghost']}",Yes,No,Formerly (3rd tier level),No,Yes,Yes,1996
66,Machop,https://static.wikia.nocookie.net/pokemongo/images/2/2b/Machop.png,Fighting,,Kanto,Superpower,"0,8","19,5",Machop family,137,82,172,14,1278,16,147,50%,10%,75%,25%,"{'62.5%': ['Bug', 'Dark', 'Rock']}","{'160%': ['Fairy', 'Flying', 'Psychic']}",Yes,No,Formerly (1st tier level),Yes,Yes,Yes,1996
67,Machoke,https://static.wikia.nocookie.net/pokemongo/images/c/ca/Machoke.png,Fighting,,Kanto,Superpower,"1,5","70,5",Machop family,177,125,190,24,2031,17,162,25%,7%,75%,25%,"{'62.5%': ['Bug', 'Dark', 'Rock']}","{'160%': ['Fairy', 'Flying', 'Psychic']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,Yes,1996
68,Machamp,https://static.wikia.nocookie.net/pokemongo/images/b/bf/Machamp.png,Fighting,,Kanto,Superpower,"1,6",130,Machop family,234,159,207,37,3056,19,175,10%,5%,75%,25%,"{'62.5%': ['Bug', 'Dark', 'Rock']}","{'160%': ['Fairy', 'Flying', 'Psychic']}",Yes,No,Formerly (3rd tier level),No,Yes,Yes,1996
69,Bellsprout,https://static.wikia.nocookie.net/pokemongo/images/d/d1/Bellsprout.png,Grass,Poison,Kanto,Flower,"0,7",4,Bellsprout family,139,61,137,11,1033,12,120,50%,15%,50%,50%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}",Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,1996
